Date,BR3MT=RR,BR6MT=RR,BR1YT=RR,BR2YT=RR,BR3YT=RR,BR5YT=RR,BR10YT=RR
1/6/06,17.2,17.2,16.25,15.49,15.11,5.52,6.585
1/13/06,17.03,17.03,15.97,15.24,14.85,5.514,6.653
1/20/06,16.78,16.23,15.73,15.13,14.85,5.17,6.617
1/27/06,16.73,16.18,15.77,15.324,14.84,5.026,
2/3/06,16.61,16.04,15.63,15.06,14.78,5.049,14.417
2/10/06,16.51,16.01,15.57,14.87,14.39,5.015,13.692
2/17/06,16.37,15.78,15.28,14.662,14.01,5.213,13.146
2/24/06,16.22,15.63,15.16,14.71,14.14,5.295,13.84
3/3/06,16.07,15.48,14.98,14.27,13.89,5.322,13.955
3/10/06,16,15.4,14.91,14.523,14.33,5.412,13.955
3/17/06,15.84,15.29,14.81,14.523,14.05,5.348,13.791
3/24/06,15.77,15.3,14.93,14.784,14.49,5.535,14.131
3/31/06,15.63,15.16,14.77,14.795,14.55,5.666,14.496
4/7/06,15.48,15.09,14.72,14.739,14.54,5.73,14.496
4/14/06,15.33,14.92,14.61,14.766,14.65,5.631,14.802
4/21/06,15.24,14.84,14.58,14.701,14.55,5.53,14.561
4/28/06,15.18,14.85,14.61,14.815,14.55,5.428,
5/5/06,15.15,14.82,14.61,14.66,14.71,5.591,
5/12/06,15.08,14.84,14.7,14.91,15.13,5.86,
5/19/06,15.08,14.86,14.83,15.15,15.43,5.895,15.461
5/26/06,15.17,15.08,15.11,15.35,15.53,6.105,15.781
6/2/06,15.04,15,15.26,16.179,16.352,6.007,16.01
6/9/06,14.95,14.84,15.16,16.092,16.14,6.151,16.315
6/16/06,14.88,14.77,15.04,15.85,15.95,5.94,16.552
6/23/06,14.84,14.73,14.99,16.049,15.85,6.341,16.358
6/30/06,14.7,14.59,14.72,15.394,15.32,6.085,15.953
7/7/06,14.65,14.52,14.58,15.184,15.09,5.43,15.514
7/14/06,14.56,14.47,14.56,,15.24,5.947,15.496
7/21/06,14.43,14.32,14.4,,15,6.063,
7/28/06,14.4,14.32,14.39,,14.71,5.957,
8/4/06,14.38,14.3,14.34,14.888,16.302,5.92,15.208
8/11/06,14.32,14.26,14.28,,16.302,5.727,14.783
8/18/06,14.28,14.21,14.2,,14.554,5.688,14.557
8/25/06,14.2,14.14,14.17,,14.45,5.489,14.724
9/1/06,13.95,13.83,13.82,13.96,14.04,5.446,14.6453
9/8/06,13.82,13.65,13.65,14.895,14.46,5.449,
9/15/06,13.81,13.61,13.54,14.895,14.46,5.528,
9/22/06,13.75,13.59,13.59,14.895,14.46,5.651,
9/29/06,13.67,13.51,13.49,14.895,14.46,5.524,
10/6/06,13.59,13.4,13.35,14.895,13.747,5.392,13.8253
10/13/06,13.48,13.28,13.19,,13.68,5.557,13.7737
10/20/06,13.36,13.22,13.19,,,5.421,13.8095
10/27/06,13.31,13.1,13,,,5.465,13.7386
11/3/06,13.28,13.06,12.83,13.916,,5.504,13.75
11/10/06,13.25,13.07,12.95,13.2,,5.499,13.77
11/17/06,13.21,13.05,12.93,13.21,,5.447,13.5929
11/24/06,13.16,12.98,12.86,13.19,,5.394,13.52
12/1/06,12.98,12.79,12.65,13.04,,5.481,13.4478
12/8/06,12.9,12.67,12.45,12.88,,5.379,13.29
12/15/06,12.86,12.62,12.4,12.64,,5.518,13.05
12/22/06,12.83,12.59,12.42,12.52,,12.66,12.7
12/29/06,12.79,12.53,12.31,12.45,,5.456,12.57
1/5/07,12.75,12.53,12.37,12.42,,5.561,12.66
1/12/07,12.68,12.49,12.35,12.5,,5.496,12.74000019
1/19/07,12.63,12.45,12.3,12.46,,12.52,12.61
1/26/07,12.68,12.52,12.36,12.41,,12.49,12.58
2/2/07,12.66,12.46,12.28,12.38,,5.333,12.58000034
