Date,DE1MT=RR,DE3MT=RR,DE6MT=RR,DE1YT=RR,DE2YT=RR,DE3YT=RR,DE5YT=RR,DE7YT=RR,DE10YT=RR,DE20YT=RR,DE30YT=RR
1/6/06,,2.355,2.491,2.632,2.765,2.871,2.979,3.108,3.257,3.491,3.559
1/13/06,,2.352,2.494,2.695,2.841,2.886,3.03,3.132,3.252,3.469,3.517
1/20/06,,2.399,2.546,2.703,2.797,2.947,3.07,3.212,3.333,3.549,3.608
1/27/06,,2.41,2.558,2.724,2.937,3.028,3.228,3.352,3.471,3.718,3.778
2/3/06,,2.441,2.571,2.745,2.973,3.072,3.272,3.391,3.504,3.723,3.766
2/10/06,,2.454,2.564,2.719,2.929,2.951,3.183,3.341,3.454,3.678,3.732
2/17/06,,2.475,2.621,2.716,2.936,3.034,3.237,3.376,3.482,3.728,3.776
2/24/06,,2.478,2.629,2.765,2.979,3.063,3.249,3.367,3.481,3.694,3.737
3/3/06,,2.507,2.672,2.829,3.105,3.084,3.364,3.454,3.572,3.738,3.792
3/10/06,,2.531,2.669,2.921,3.151,3.154,3.407,3.519,3.629,3.83,3.883
3/17/06,,2.557,2.52,2.973,3.2,3.18,3.408,3.534,3.634,3.835,3.878
3/24/06,,2.576,2.744,3.014,3.212,3.207,3.49,3.576,3.677,3.864,3.902
3/31/06,,2.62,2.799,3.126,3.306,3.313,3.614,3.7,3.791,3.978,4.005
4/7/06,,2.565,2.714,3.05,3.286,3.416,3.648,3.793,3.878,4.116,4.18
4/14/06,,2.587,2.778,3.016,3.3,3.45,3.662,3.805,3.877,4.097,4.151
4/21/06,,2.599,2.786,3.035,3.314,3.454,3.685,3.839,3.925,4.139,4.202
4/28/06,,2.615,2.851,3.058,3.385,3.517,3.751,3.89,3.97,4.159,4.219
5/5/06,,2.599,2.859,3.123,3.359,3.58,3.795,3.933,4.017,4.203,4.26
5/12/06,,2.613,2.883,3.158,3.368,3.597,3.83,3.974,4.061,4.313,4.315
5/19/06,,2.707,2.923,3.066,3.308,3.469,3.703,3.863,4.007,4.294,4.305
5/26/06,,2.693,2.898,3.09,3.252,3.411,3.593,3.756,3.872,4.186,4.188
6/2/06,,2.748,2.936,3.168,3.385,3.531,3.717,3.862,3.991,4.264,4.278
6/9/06,,2.719,2.871,3.143,3.371,3.487,3.686,3.822,3.93,4.215,4.222
6/16/06,,2.775,2.97,3.144,3.38,3.5,3.695,3.839,3.955,4.219,4.235
6/23/06,,2.823,2.994,3.3,3.517,3.612,3.811,3.931,4.059,4.333,4.342
6/30/06,,2.855,3.023,3.357,3.546,3.634,3.816,3.946,4.054,4.289,4.314
7/7/06,,2.895,3.05,3.417,3.637,3.789,3.903,4.021,4.115,4.333,4.339
7/14/06,,2.897,3.159,3.319,3.551,3.653,3.79,3.9,4.02,4.282,4.283
7/21/06,,2.951,3.173,3.334,3.542,3.661,3.746,3.866,3.966,4.228,4.228
