Date,IN3MT=RR,IN6MT=RR,IN1YT=RR,IN2YT=RR,IN3YT=RR,IN5YT=RR,IN7YT=RR,IN10YT=RR,IN30YT=RR
1/5/01,9.2,9.4,9.754,9.826,9.91,10.098,10.36,10.674,
1/12/01,9.65,9.75,9.832,9.94,9.911015,10.082,10.352,10.652,
1/19/01,9.4,9.6,9.761,9.793,9.847,10.033,10.248,10.531,
1/26/01,9.3,9.4,9.73,9.551,9.666,9.873,10.131,10.473,
2/2/01,9.35,9.4,9.67,9.563,9.671,9.876,10.185,10.464,
2/9/01,8.9,9.1,9.354,9.44,9.51,9.831,9.964804,10.298,
2/16/01,9.25,9.35,9.434,9.552,9.51,9.932,10.005341,10.326,
2/23/01,8.55,8.65,9.184,9.338,9.369,9.629,9.904984,10.303,
3/2/01,8,8.35,8.786,8.956,9.078,9.398,9.705083,10.06,
3/9/01,7.9,8.1,8.898,9.018,9.079,9.44,9.692294,10.192,
3/16/01,8.2,8.7,9.036,9.156,9.246,9.668,9.843126,10.44,
3/23/01,8.25,8.6,9.059,9.174,9.264,9.657,9.892889,10.386,
3/30/01,8.65,8.8,9.03,9.133,9.155,9.507,9.823351,10.37,
4/6/01,8.5,8.6,8.99,9.124,9.151,9.599,9.880409,10.438,
4/13/01,8.2,8.75,8.994,9.077,9.121,9.523,9.803178,10.359,
4/20/01,8.1,8.5,8.921,8.981,9.042,9.434,9.759076,10.316,
4/27/01,7.95,8.35,8.874,8.938,8.991,9.326,9.704484,10.1,
5/4/01,7.75,8.15,8.81,8.9,8.993,9.283,9.697541,10.076,
5/11/01,8.85,8.4,8.761,8.867,8.957,9.199,9.610068,10.033,
5/18/01,8.2,8.3,8.768,8.839,8.92,9.142,9.533745,9.955,
5/25/01,7.9,8.25,8.642,8.747,8.868,9.099,9.49574,9.917,
6/1/01,7.2,7.4,8.409,8.582,8.734,8.933,9.440059,9.804,
6/8/01,8,8.15,8.506,8.674,8.77,9.05,9.520553,9.89,
6/15/01,7.55,7.8,8.337,8.502,8.638,8.896,9.376815,9.75,
6/22/01,7.35,7.7,8.12,8.34,8.463,8.722,9.205066,9.632,
6/29/01,7.3,7.5,7.968,8.085,8.157,8.432,8.986479,9.522,
7/6/01,7.15,7.4,7.66,7.73,7.804,8.058,8.699969,9.407,
7/13/01,7.2,7.4,7.515,7.727,7.838,8.169,8.695419,9.483,
7/20/01,7.15,7.2,7.347,7.461,7.653,7.983,8.516303,9.343,
7/27/01,7.15,7.3,7.342,7.479,7.608,7.984,8.553296,9.338,
